ram: set wl 32
ram: set size 64
ram: set size 4096
ram: set wl 32
ram: set size 32
ram: set wl 32
Profile Cycle              83:             736 evals,             120 toggles,            7033 zeroes,             328 ones
Profile Cycle              84:             787 evals,              73 toggles,            6982 zeroes,             292 ones
Profile Cycle              85:             787 evals,              83 toggles,            6931 zeroes,             343 ones
Profile Cycle              86:             798 evals,             130 toggles,            7240 zeroes,             418 ones
Profile Cycle              87:             776 evals,             158 toggles,            6773 zeroes,             469 ones
Profile Cycle              88:             784 evals,              49 toggles,            7084 zeroes,             532 ones
Profile Cycle              89:             759 evals,             135 toggles,            6703 zeroes,             395 ones
Profile Cycle              90:             750 evals,              22 toggles,            6623 zeroes,             376 ones
Profile Cycle              91:             730 evals,              20 toggles,            6612 zeroes,             371 ones
Profile Cycle              92:             752 evals,              31 toggles,            6624 zeroes,             378 ones
Profile Cycle              93:             773 evals,              34 toggles,            6909 zeroes,             391 ones
Profile Cycle              94:             790 evals,             119 toggles,            6963 zeroes,             407 ones
[94] Sample(2) output: 0
Profile Cycle              95:             705 evals,             151 toggles,            7000 zeroes,             350 ones
Profile Cycle              96:             724 evals,             129 toggles,            7031 zeroes,             401 ones
Profile Cycle              97:             736 evals,             144 toggles,            7035 zeroes,             326 ones
Profile Cycle              98:             787 evals,              83 toggles,            6937 zeroes,             337 ones
Profile Cycle              99:             715 evals,             155 toggles,            6978 zeroes,             473 ones
Profile Cycle             100:             776 evals,             170 toggles,            6721 zeroes,             521 ones
Profile Cycle             101:             755 evals,              56 toggles,            6743 zeroes,             572 ones
Profile Cycle             102:             762 evals,             126 toggles,            6709 zeroes,             485 ones
Profile Cycle             103:             753 evals,              25 toggles,            6632 zeroes,             463 ones
Profile Cycle             104:             754 evals,               8 toggles,            6636 zeroes,             460 ones
Profile Cycle             105:             755 evals,              14 toggles,            6636 zeroes,             462 ones
Profile Cycle             106:             770 evals,              33 toggles,            6724 zeroes,             480 ones
Profile Cycle             107:             787 evals,             154 toggles,            6813 zeroes,             461 ones
Profile Cycle             108:             726 evals,             111 toggles,            7011 zeroes,             426 ones
Profile Cycle             109:             755 evals,             113 toggles,            7230 zeroes,             325 ones
Profile Cycle             110:             787 evals,              77 toggles,            6944 zeroes,             330 ones
Profile Cycle             111:             692 evals,              76 toggles,            6910 zeroes,             353 ones
Profile Cycle             112:             736 evals,             146 toggles,            7036 zeroes,             325 ones
Profile Cycle             113:             787 evals,              76 toggles,            6988 zeroes,             286 ones
Profile Cycle             114:             787 evals,              77 toggles,            6931 zeroes,             343 ones
Profile Cycle             115:             798 evals,             135 toggles,            7246 zeroes,             412 ones
Profile Cycle             116:             776 evals,             156 toggles,            6776 zeroes,             466 ones
Profile Cycle             117:             784 evals,              52 toggles,            7090 zeroes,             526 ones
Profile Cycle             118:             759 evals,             127 toggles,            6700 zeroes,             398 ones
Profile Cycle             119:             750 evals,              31 toggles,            6629 zeroes,             370 ones
Profile Cycle             120:             751 evals,               8 toggles,            6633 zeroes,             367 ones
Profile Cycle             121:             731 evals,              17 toggles,            6609 zeroes,             376 ones
Profile Cycle             122:             773 evals,              48 toggles,            6904 zeroes,             396 ones
Profile Cycle             123:             790 evals,             122 toggles,            6961 zeroes,             409 ones
[123] Sample(3) output: 0
Profile Cycle             124:             705 evals,             145 toggles,            6990 zeroes,             360 ones
Profile Cycle             125:             724 evals,             138 toggles,            7041 zeroes,             391 ones
Profile Cycle             126:             736 evals,             141 toggles,            7036 zeroes,             325 ones
Profile Cycle             127:             787 evals,              85 toggles,            6941 zeroes,             333 ones
Profile Cycle             128:             715 evals,             130 toggles,            7003 zeroes,             448 ones
Profile Cycle             129:             776 evals,             156 toggles,            6749 zeroes,             493 ones
Profile Cycle             130:             776 evals,              41 toggles,            6795 zeroes,             537 ones
Profile Cycle             131:             741 evals,              96 toggles,            6706 zeroes,             471 ones
Profile Cycle             132:             753 evals,              48 toggles,            6641 zeroes,             454 ones
Profile Cycle             133:             754 evals,              11 toggles,            6648 zeroes,             448 ones
Profile Cycle             134:             755 evals,               8 toggles,            6642 zeroes,             456 ones
Profile Cycle             135:             770 evals,              37 toggles,            6736 zeroes,             468 ones
Profile Cycle             136:             787 evals,             138 toggles,            6804 zeroes,             470 ones
Profile Cycle             137:             726 evals,             119 toggles,            7013 zeroes,             424 ones
Profile Cycle             138:             755 evals,             100 toggles,            7215 zeroes,             340 ones
Profile Cycle             139:             787 evals,              86 toggles,            6938 zeroes,             336 ones
Profile Cycle             140:             713 evals,              61 toggles,            6919 zeroes,             361 ones
Profile Cycle             141:             715 evals,             126 toggles,            6986 zeroes,             358 ones
Profile Cycle             142:             787 evals,             102 toggles,            6981 zeroes,             293 ones
Profile Cycle             143:             787 evals,              80 toggles,            6927 zeroes,             347 ones
Profile Cycle             144:             798 evals,             127 toggles,            7236 zeroes,             422 ones
Profile Cycle             145:             776 evals,             161 toggles,            6772 zeroes,             470 ones
Profile Cycle             146:             784 evals,              49 toggles,            7083 zeroes,             533 ones
Profile Cycle             147:             759 evals,             129 toggles,            6696 zeroes,             402 ones
Profile Cycle             148:             750 evals,              22 toggles,            6616 zeroes,             383 ones
Profile Cycle             149:             751 evals,              17 toggles,            6629 zeroes,             371 ones
Profile Cycle             150:             752 evals,               8 toggles,            6623 zeroes,             379 ones
Profile Cycle             151:             752 evals,              52 toggles,            6893 zeroes,             390 ones
Profile Cycle             152:             790 evals,             148 toggles,            6980 zeroes,             390 ones
[152] Sample(4) output: 0
Profile Cycle             153:             705 evals,             150 toggles,            7014 zeroes,             336 ones
Profile Cycle             154:             724 evals,             129 toggles,            7045 zeroes,             387 ones
Profile Cycle             155:             736 evals,             153 toggles,            7052 zeroes,             309 ones
Profile Cycle             156:             787 evals,              83 toggles,            6954 zeroes,             320 ones
Profile Cycle             157:             715 evals,             157 toggles,            6989 zeroes,             462 ones
Profile Cycle             158:             776 evals,             170 toggles,            6732 zeroes,             510 ones
Profile Cycle             159:             776 evals,              56 toggles,            6781 zeroes,             551 ones
Profile Cycle             160:             762 evals,             101 toggles,            6722 zeroes,             472 ones
Profile Cycle             161:             732 evals,              33 toggles,            6623 zeroes,             455 ones
Profile Cycle             162:             754 evals,              33 toggles,            6625 zeroes,             471 ones
Profile Cycle             163:             755 evals,              11 toggles,            6622 zeroes,             476 ones
Profile Cycle             164:             770 evals,              39 toggles,            6703 zeroes,             501 ones
Profile Cycle             165:             787 evals,             169 toggles,            6783 zeroes,             491 ones
Profile Cycle             166:             726 evals,             120 toggles,            7001 zeroes,             436 ones
Profile Cycle             167:             755 evals,             107 toggles,            7214 zeroes,             341 ones
Profile Cycle             168:             787 evals,              77 toggles,            6928 zeroes,             346 ones
Profile Cycle             169:             713 evals,              70 toggles,            6918 zeroes,             362 ones
Profile Cycle             170:             736 evals,             117 toggles,            7006 zeroes,             355 ones
Profile Cycle             171:             766 evals,              85 toggles,            6940 zeroes,             317 ones
Profile Cycle             172:             787 evals,             104 toggles,            6919 zeroes,             355 ones
Profile Cycle             173:             798 evals,             163 toggles,            7199 zeroes,             459 ones
Profile Cycle             174:             776 evals,             185 toggles,            6737 zeroes,             505 ones
Profile Cycle             175:             784 evals,              85 toggles,            7046 zeroes,             570 ones
Profile Cycle             176:             759 evals,             145 toggles,            6673 zeroes,             425 ones
Profile Cycle             177:             750 evals,              26 toggles,            6596 zeroes,             403 ones
Profile Cycle             178:             751 evals,               8 toggles,            6600 zeroes,             400 ones
Profile Cycle             179:             752 evals,              17 toggles,            6603 zeroes,             399 ones
Profile Cycle             180:             773 evals,              33 toggles,            6885 zeroes,             415 ones
Profile Cycle             181:             769 evals,             140 toggles,            6936 zeroes,             417 ones
[181] Sample(5) output: 0
Profile Cycle             182:             705 evals,             162 toggles,            6990 zeroes,             360 ones
Profile Cycle             183:             724 evals,             146 toggles,            7021 zeroes,             411 ones
Profile Cycle             184:             736 evals,             149 toggles,            7030 zeroes,             331 ones
Profile Cycle             185:             787 evals,              89 toggles,            6938 zeroes,             336 ones
Profile Cycle             186:             715 evals,             152 toggles,            6973 zeroes,             478 ones
Profile Cycle             187:             776 evals,             160 toggles,            6719 zeroes,             523 ones
Profile Cycle             188:             776 evals,              47 toggles,            6759 zeroes,             573 ones
Profile Cycle             189:             762 evals,             111 toggles,            6709 zeroes,             485 ones
Profile Cycle             190:             753 evals,              24 toggles,            6625 zeroes,             470 ones
Profile Cycle             191:             733 evals,              23 toggles,            6614 zeroes,             465 ones
Profile Cycle             192:             755 evals,              29 toggles,            6622 zeroes,             476 ones
Profile Cycle             193:             770 evals,              43 toggles,            6706 zeroes,             498 ones
Profile Cycle             194:             787 evals,             163 toggles,            6780 zeroes,             494 ones
Profile Cycle             195:             726 evals,             133 toggles,            7004 zeroes,             433 ones
Profile Cycle             196:             755 evals,             107 toggles,            7214 zeroes,             341 ones
Profile Cycle             197:             787 evals,              80 toggles,            6931 zeroes,             343 ones
Profile Cycle             198:             713 evals,              61 toggles,            6912 zeroes,             368 ones
Profile Cycle             199:             736 evals,             126 toggles,            7009 zeroes,             352 ones
Profile Cycle             200:             787 evals,              73 toggles,            6958 zeroes,             316 ones
Profile Cycle             201:             766 evals,              86 toggles,            6883 zeroes,             374 ones
Profile Cycle             202:             798 evals,             192 toggles,            7203 zeroes,             455 ones
Profile Cycle             203:             776 evals,             188 toggles,            6744 zeroes,             498 ones
Profile Cycle             204:             784 evals,              68 toggles,            7031 zeroes,             585 ones
Profile Cycle             205:             759 evals,             150 toggles,            6674 zeroes,             424 ones
Profile Cycle             206:             750 evals,              23 toggles,            6594 zeroes,             405 ones
Profile Cycle             207:             751 evals,              11 toggles,            6601 zeroes,             399 ones
Profile Cycle             208:             752 evals,               8 toggles,            6595 zeroes,             407 ones
Profile Cycle             209:             773 evals,              42 toggles,            6886 zeroes,             414 ones
Profile Cycle             210:             790 evals,             131 toggles,            6955 zeroes,             415 ones
[210] Sample(6) output: 0
Profile Cycle             211:             684 evals,             159 toggles,            6966 zeroes,             367 ones
Profile Cycle             212:             724 evals,             171 toggles,            7004 zeroes,             428 ones
Profile Cycle             213:             736 evals,             162 toggles,            7030 zeroes,             331 ones
Profile Cycle             214:             787 evals,              84 toggles,            6932 zeroes,             342 ones
Profile Cycle             215:             715 evals,             178 toggles,            6943 zeroes,             508 ones
Profile Cycle             216:             776 evals,             180 toggles,            6692 zeroes,             550 ones
Profile Cycle             217:             776 evals,              56 toggles,            6729 zeroes,             603 ones
Profile Cycle             218:             762 evals,             119 toggles,            6682 zeroes,             512 ones
Profile Cycle             219:             753 evals,              36 toggles,            6603 zeroes,             492 ones
Profile Cycle             220:             754 evals,               8 toggles,            6607 zeroes,             489 ones
Profile Cycle             221:             734 evals,              17 toggles,            6580 zeroes,             501 ones
Profile Cycle             222:             770 evals,              65 toggles,            6682 zeroes,             522 ones
Profile Cycle             223:             787 evals,             191 toggles,            6765 zeroes,             509 ones
Profile Cycle             224:             726 evals,             133 toggles,            6995 zeroes,             442 ones
Profile Cycle             225:             755 evals,             115 toggles,            7219 zeroes,             336 ones
Profile Cycle             226:             787 evals,              77 toggles,            6933 zeroes,             341 ones
Profile Cycle             227:             713 evals,              64 toggles,            6917 zeroes,             363 ones
Profile Cycle             228:             736 evals,             117 toggles,            7005 zeroes,             356 ones
Profile Cycle             229:             787 evals,              82 toggles,            6963 zeroes,             311 ones
Profile Cycle             230:             787 evals,              77 toggles,            6906 zeroes,             368 ones
Profile Cycle             231:             777 evals,             208 toggles,            7138 zeroes,             503 ones
Profile Cycle             232:             776 evals,             236 toggles,            6692 zeroes,             550 ones
Profile Cycle             233:             784 evals,              90 toggles,            6948 zeroes,             668 ones
Profile Cycle             234:             759 evals,             162 toggles,            6622 zeroes,             476 ones
Profile Cycle             235:             750 evals,              30 toggles,            6548 zeroes,             451 ones
Profile Cycle             236:             751 evals,               8 toggles,            6552 zeroes,             448 ones
Profile Cycle             237:             752 evals,              11 toggles,            6549 zeroes,             453 ones
Profile Cycle             238:             773 evals,              35 toggles,            6831 zeroes,             469 ones
Profile Cycle             239:             790 evals,             152 toggles,            6924 zeroes,             446 ones
[239] Sample(7) output: 0
Profile Cycle             240:             705 evals,             147 toggles,            6951 zeroes,             399 ones
Profile Cycle             241:             703 evals,             157 toggles,            6975 zeroes,             440 ones
Profile Cycle             242:             736 evals,             174 toggles,            6997 zeroes,             364 ones
Profile Cycle             243:             787 evals,              85 toggles,            6902 zeroes,             372 ones
Profile Cycle             244:             715 evals,             138 toggles,            6970 zeroes,             481 ones
Profile Cycle             245:             776 evals,             155 toggles,            6713 zeroes,             529 ones
Profile Cycle             246:             776 evals,              41 toggles,            6759 zeroes,             573 ones
Profile Cycle             247:             762 evals,              89 toggles,            6691 zeroes,             503 ones
Profile Cycle             248:             753 evals,              23 toggles,            6607 zeroes,             488 ones
Profile Cycle             249:             754 evals,              17 toggles,            6620 zeroes,             476 ones
Profile Cycle             250:             755 evals,               8 toggles,            6614 zeroes,             484 ones
Profile Cycle             251:             749 evals,              51 toggles,            6677 zeroes,             510 ones
Profile Cycle             252:             787 evals,             277 toggles,            6934 zeroes,             340 ones
Profile Cycle             253:             726 evals,             132 toggles,            7163 zeroes,             274 ones
Profile Cycle             254:             755 evals,             100 toggles,            7365 zeroes,             190 ones
Profile Cycle             255:             787 evals,              83 toggles,            7085 zeroes,             189 ones
Profile Cycle             256:             713 evals,              61 toggles,            7066 zeroes,             214 ones
Profile Cycle             257:             736 evals,             120 toggles,            7157 zeroes,             204 ones
Profile Cycle             258:             787 evals,              73 toggles,            7106 zeroes,             168 ones
Profile Cycle             259:             787 evals,              86 toggles,            7058 zeroes,             216 ones
Profile Cycle             260:             798 evals,             164 toggles,            7335 zeroes,             323 ones
Profile Cycle             261:             755 evals,             193 toggles,            6852 zeroes,             373 ones
Profile Cycle             262:             784 evals,             108 toggles,            7142 zeroes,             474 ones
Profile Cycle             263:             759 evals,             152 toggles,            6805 zeroes,             293 ones
Profile Cycle             264:             750 evals,              23 toggles,            6725 zeroes,             274 ones
Profile Cycle             265:             751 evals,              14 toggles,            6735 zeroes,             265 ones
Profile Cycle             266:             752 evals,               8 toggles,            6729 zeroes,             273 ones
Profile Cycle             267:             773 evals,              45 toggles,            7002 zeroes,             298 ones
Profile Cycle             268:             790 evals,             143 toggles,            7059 zeroes,             311 ones
[268] Sample(8) output: 1
Profile Cycle             269:             705 evals,             184 toggles,            7097 zeroes,             253 ones
Profile Cycle             270:             724 evals,             127 toggles,            7148 zeroes,             284 ones
Profile Cycle             271:             715 evals,             166 toggles,            7131 zeroes,             213 ones
